,node,name,lat,lon,closeness,Station,Trafic
1030,20303,GALLIENI,48.90984029641744,2.2860586463160337,9.272963443514976e-07,GALLIENI,5884810
1031,24663,GALLIENI,48.863810058805996,2.4170250937886517,0.00015239829709670744,GALLIENI,5884810
1032,24706,GALLIENI,48.86373839643221,2.4166708120048925,0.0001204193697325856,GALLIENI,5884810
1033,26127,GALLIENI,48.86390911114511,2.416739183588205,0.00010338504208997991,GALLIENI,5884810
1034,26128,GALLIENI,48.86403471580702,2.4170663055639334,0.00015472255624491492,GALLIENI,5884810
1035,1412,VOLTAIRE,48.81454166615835,2.537879731634287,0.00010528963614499734,VOLTAIRE,5036297
1036,1413,VOLTAIRE,48.814919195724926,2.537853972399855,0.0001127698014047667,VOLTAIRE,5036297
1037,4576,VOLTAIRE,48.790384083368984,2.5079555256354293,9.794693420701521e-05,VOLTAIRE,5036297
1038,9016,VOLTAIRE,48.781467960312966,2.2376861296997754,0.0001321952544448335,VOLTAIRE,5036297
1039,11140,VOLTAIRE,48.93864537025909,2.1702530958492527,8.342318493856436e-05,VOLTAIRE,5036297
1040,11141,VOLTAIRE,48.93755107053998,2.1717571817679384,9.507888398028692e-05,VOLTAIRE,5036297
1041,11261,VOLTAIRE,48.9385473921077,2.1708809294112283,8.922956353508394e-05,VOLTAIRE,5036297
1042,11383,VOLTAIRE,48.87744385318489,2.1986416205603554,0.00012346998651113346,VOLTAIRE,5036297
1043,11384,VOLTAIRE,48.877022210574445,2.1992967712593696,0.0001336272339166613,VOLTAIRE,5036297
1044,11479,VOLTAIRE,48.899251610348706,2.1950664041752916,0.0001242049128893752,VOLTAIRE,5036297
1045,11480,VOLTAIRE,48.90005136480068,2.1949824204525146,2.645819691730164e-06,VOLTAIRE,5036297
1046,13859,VOLTAIRE,48.8767515161948,2.198370963328061,0.00012043017263060791,VOLTAIRE,5036297
1047,14151,VOLTAIRE,49.001050525252275,2.4141090663154183,2.3720571665777145e-06,VOLTAIRE,5036297
1048,18332,VOLTAIRE,48.790672572619854,2.507344346011358,0.00011387239946607438,VOLTAIRE,5036297
1049,19045,VOLTAIRE,48.81267861217987,2.385837300329046,0.00015312366645664935,VOLTAIRE,5036297
1050,19046,VOLTAIRE,48.81297520230373,2.3858511865781136,0.00015103996568978302,VOLTAIRE,5036297
1051,24480,VOLTAIRE,48.91432584069904,2.431106318279996,0.00012662728761033727,VOLTAIRE,5036297
1052,24563,VOLTAIRE,48.91423410186426,2.4334514173350046,0.00011154546256170109,VOLTAIRE,5036297
1053,26203,VOLTAIRE,48.87796073829657,2.239544673463894,9.168418790871181e-07,VOLTAIRE,5036297
1054,1516,BEL AIR,48.81585473698603,2.488686668376452,1.7685026999439471e-06,BEL AIR,2223888
